"ensembl_gene_id"	"gene_biotype"	"external_gene_name"
"ENSRNOG00000014330"	"protein_coding"	"Pcmt1"
"ENSRNOG00000014431"	"processed_pseudogene"	"AABR07000222.1"
"ENSRNOG00000014450"	"protein_coding"	"Shprh"
"ENSRNOG00000014485"	"protein_coding"	"Pdcd6"
"ENSRNOG00000014531"	"protein_coding"	"Hbs1l"
"ENSRNOG00000014582"	"protein_coding"	"Mrpl18"
"ENSRNOG00000014721"	"protein_coding"	"Ahrr"
"ENSRNOG00000014852"	"protein_coding"	"Fbxo30"
"ENSRNOG00000014902"	"protein_coding"	"Stx11"
"ENSRNOG00000014907"	"protein_coding"	"Aldh8a1"
"ENSRNOG00000014908"	"protein_coding"	"Sf3b5"
"ENSRNOG00000014916"	"protein_coding"	"Lats1"
"ENSRNOG00000014965"	"protein_coding"	"Mas1l"
"ENSRNOG00000014971"	"protein_coding"	"Mas1"
"ENSRNOG00000014979"	"protein_coding"	"Themis"
"ENSRNOG00000014996"	"protein_coding"	"Katna1"
"ENSRNOG00000014997"	"protein_coding"	"Igf2r"
"ENSRNOG00000015036"	"protein_coding"	"Ctgf"
"ENSRNOG00000015159"	"protein_coding"	"Slc9a3"
"ENSRNOG00000015217"	"protein_coding"	"Ltv1"
"ENSRNOG00000015239"	"protein_coding"	"Ginm1"
"ENSRNOG00000015321"	"protein_coding"	"Moxd1"
"ENSRNOG00000015465"	"protein_coding"	"Cep72"
"ENSRNOG00000015473"	"protein_coding"	"Phactr2"
"ENSRNOG00000015551"	"protein_coding"	"Fuca2"
"ENSRNOG00000015552"	"protein_coding"	"Ppil4"
"ENSRNOG00000015609"	"protein_coding"	"Wdr27"
"ENSRNOG00000015660"	"protein_coding"	"Pex3"
"ENSRNOG00000015670"	"protein_coding"	"Stx7"
"ENSRNOG00000015676"	"protein_coding"	"Brd9"
"ENSRNOG00000015810"	"protein_coding"	"Trip13"
"ENSRNOG00000016011"	"protein_coding"	"Plekhg1"
"ENSRNOG00000016041"	"protein_coding"	"Zc3h12d"
"ENSRNOG00000016054"	"protein_coding"	"Tab2"
"ENSRNOG00000016073"	"protein_coding"	"Taar1"
"ENSRNOG00000016089"	"protein_coding"	"Taar6"
"ENSRNOG00000016095"	"pseudogene"	"Taar7a"
"ENSRNOG00000016103"	"protein_coding"	"Nkd2"
"ENSRNOG00000016219"	"protein_coding"	"Vnn1"
"ENSRNOG00000016253"	"protein_coding"	"Slc6a18"
"ENSRNOG00000016286"	"protein_coding"	"Iyd"
"ENSRNOG00000016337"	"protein_coding"	"Slc22a1"
"ENSRNOG00000016368"	"protein_coding"	"Ppp1r14c"
"ENSRNOG00000016371"	"protein_coding"	"Slc18b1"
"ENSRNOG00000016372"	"protein_coding"	"Slc12a7"
"ENSRNOG00000016381"	"protein_coding"	"Ust"
"ENSRNOG00000016411"	"protein_coding"	"Rps12"
"ENSRNOG00000016462"	"protein_coding"	"LOC102547287"
"ENSRNOG00000016490"	"protein_coding"	"Nox3"
"ENSRNOG00000016624"	"protein_coding"	"AABR07000276.1"
"ENSRNOG00000016625"	"protein_coding"	"Slc22a2"
"ENSRNOG00000016627"	"protein_coding"	"Eya4"
"ENSRNOG00000016700"	"protein_coding"	"Tcf21"
"ENSRNOG00000016728"	"protein_coding"	"Tiam2"
"ENSRNOG00000016812"	"protein_coding"	"Adamts16"
"ENSRNOG00000016919"	"protein_coding"	"Scaf8"
"ENSRNOG00000016923"	"protein_coding"	"Clptm1l"
"ENSRNOG00000016973"	"protein_coding"	"Tmem242"
"ENSRNOG00000017030"	"protein_coding"	"Arid1b"
"ENSRNOG00000017095"	"pseudogene"	"LOC679881"
"ENSRNOG00000017114"	"protein_coding"	"Synj2"
"ENSRNOG00000017150"	"protein_coding"	"Med10"
"ENSRNOG00000017223"	"protein_coding"	"Plg"
"ENSRNOG00000017254"	"protein_coding"	"Nsun2"
"ENSRNOG00000017302"	"protein_coding"	"Slc6a3"
"ENSRNOG00000017367"	"protein_coding"	"Pabpc6"
"ENSRNOG00000017412"	"protein_coding"	"AABR07001512.1"
"ENSRNOG00000017419"	"protein_coding"	"Map3k4"
"ENSRNOG00000017601"	"protein_coding"	"Srd5a1"
"ENSRNOG00000017613"	"protein_coding"	"Tent4a"
"ENSRNOG00000017678"	"pseudogene"	"AABR07001064.1"
"ENSRNOG00000017731"	"protein_coding"	"Agpat4"
"ENSRNOG00000017826"	"protein_coding"	"Mtrr"
"ENSRNOG00000017889"	"protein_coding"	"Serac1"
"ENSRNOG00000017930"	"protein_coding"	"Lpcat1"
"ENSRNOG00000017963"	"protein_coding"	"AABR07001099.1"
"ENSRNOG00000018007"	"protein_coding"	"Gtf2h5"
"ENSRNOG00000018012"	"protein_coding"	"Tulp4"
"ENSRNOG00000018052"	"protein_coding"	"Cnksr3"
"ENSRNOG00000018158"	"protein_coding"	"Tmem181"
"ENSRNOG00000018163"	"protein_coding"	"Ipcef1"
"ENSRNOG00000018191"	"protein_coding"	"Oprm1"
"ENSRNOG00000018207"	"protein_coding"	"Dynlt1"
"ENSRNOG00000018321"	"protein_coding"	"Sytl3"
"ENSRNOG00000018524"	"protein_coding"	"Ezr"
"ENSRNOG00000018690"	"protein_coding"	"Rgs17"
"ENSRNOG00000018762"	"protein_coding"	"Rsph3"
"ENSRNOG00000018773"	"protein_coding"	"Mtrf1l"
"ENSRNOG00000018808"	"protein_coding"	"Vip"
"ENSRNOG00000018858"	"protein_coding"	"Myct1"
"ENSRNOG00000018915"	"protein_coding"	"Tagap"
"ENSRNOG00000018935"	"pseudogene"	"RGD1560015"
"ENSRNOG00000018960"	"processed_transcript"	"AABR07001382.1"
"ENSRNOG00000019048"	"protein_coding"	"Sod2"
"ENSRNOG00000019091"	"protein_coding"	"Wtap"
"ENSRNOG00000019189"	"protein_coding"	"Acat2"
"ENSRNOG00000019358"	"protein_coding"	"Esr1"
"ENSRNOG00000019489"	"protein_coding"	"Armt1"
"ENSRNOG00000019501"	"protein_coding"	"Rmnd1"
"ENSRNOG00000019544"	"protein_coding"	"Zbtb2"
"ENSRNOG00000019549"	"protein_coding"	"Akap12"
"ENSRNOG00000019582"	"protein_coding"	"Mthfd1l"
"ENSRNOG00000021442"	"protein_coding"	"Hddc2"
"ENSRNOG00000021478"	"protein_coding"	"Tpd52l1"
"ENSRNOG00000022921"	"protein_coding"	"Dact2"
"ENSRNOG00000022946"	"protein_coding"	"Slc22a3"
"ENSRNOG00000023053"	"protein_coding"	"Ice1"
"ENSRNOG00000023081"	"protein_coding"	"AABR07001348.1"
"ENSRNOG00000023140"	"protein_coding"	"Pnldc1"
"ENSRNOG00000023387"	"protein_coding"	"LOC100912599"
"ENSRNOG00000023407"	"protein_coding"	"LOC100910528"
"ENSRNOG00000023531"	"protein_coding"	"Cldn20"
"ENSRNOG00000023549"	"protein_coding"	"Samd5"
"ENSRNOG00000023659"	"protein_coding"	"AABR07000147.1"
"ENSRNOG00000023753"	"protein_coding"	"Afdn"
"ENSRNOG00000024077"	"protein_coding"	"Fbxo5"
"ENSRNOG00000024140"	"protein_coding"	"Sft2d1"
"ENSRNOG00000024149"	"protein_coding"	"Prr18"
"ENSRNOG00000024172"	"protein_coding"	"T2"
"ENSRNOG00000024280"	"protein_coding"	"Ccdc170"
"ENSRNOG00000025327"	"protein_coding"	"Tert"
"ENSRNOG00000025587"	"protein_coding"	"Plagl1"
"ENSRNOG00000025799"	"protein_coding"	"RGD1560303"
"ENSRNOG00000025951"	"protein_coding"	"Taar2"
"ENSRNOG00000025982"	"protein_coding"	"Taar3"
"ENSRNOG00000026096"	"protein_coding"	"Taar9"
"ENSRNOG00000026462"	"protein_coding"	"RGD1559962"
"ENSRNOG00000026501"	"protein_coding"	"Slc6a19"
"ENSRNOG00000027422"	"protein_coding"	"Fastkd3"
"ENSRNOG00000028261"	"protein_coding"	"Tppp"
"ENSRNOG00000028357"	"protein_coding"	"Lrrc14b"
"ENSRNOG00000028519"	"protein_coding"	"AABR07000581.1"
"ENSRNOG00000029049"	"protein_coding"	"Zdhhc14"
"ENSRNOG00000029608"	"protein_coding"	"Nkain2"
"ENSRNOG00000029877"	"protein_coding"	"Taar4"
"ENSRNOG00000029897"	"protein_coding"	"AABR07000156.1"
"ENSRNOG00000030145"	"protein_coding"	"RGD1561667"
"ENSRNOG00000030210"	"protein_coding"	"Fndc1"
"ENSRNOG00000030414"	"protein_coding"	"Taar8a"
"ENSRNOG00000030796"	"protein_coding"	"AABR07000595.1"
"ENSRNOG00000031700"	"protein_coding"	"Map3k5"
"ENSRNOG00000031859"	"protein_coding"	"RGD1560633"
"ENSRNOG00000032150"	"protein_coding"	"Adcy2"
"ENSRNOG00000032365"	"protein_coding"	"Vom2r5"
"ENSRNOG00000033265"	"protein_coding"	"AABR07001408.1"
"ENSRNOG00000033517"	"processed_pseudogene"	"LOC100360791"
"ENSRNOG00000033609"	"protein_coding"	"Irx1"
"ENSRNOG00000033901"	"protein_coding"	"Ttll2"
"ENSRNOG00000034075"	"protein_coding"	"Ube2ql1"
"ENSRNOG00000036310"	"miRNA"	"AABR07000257.1"
"ENSRNOG00000039255"	"protein_coding"	"Gpr31"
"ENSRNOG00000039743"	"protein_coding"	"Zdhhc11"
"ENSRNOG00000039776"	"protein_coding"	"Exoc3"
"ENSRNOG00000039783"	"protein_coding"	"AC094217.1"
"ENSRNOG00000039788"	"protein_coding"	"AC094217.2"
"ENSRNOG00000039865"	"protein_coding"	"Vnn3"
"ENSRNOG00000039869"	"protein_coding"	"Taar5"
"ENSRNOG00000039872"	"pseudogene"	"AC128759.1"
"ENSRNOG00000039955"	"protein_coding"	"Samd3"
"ENSRNOG00000040242"	"protein_coding"	"Epm2a"
"ENSRNOG00000040300"	"protein_coding"	"Raet1e"
"ENSRNOG00000040316"	"lincRNA"	"AABR07000145.1"
"ENSRNOG00000041566"	"miRNA"	"AABR07000220.1"
"ENSRNOG00000041720"	"rRNA"	"RF00001"
"ENSRNOG00000042308"	"protein_coding"	"LOC680200"
"ENSRNOG00000042309"	"protein_coding"	"Kiaa0408L"
"ENSRNOG00000042705"	"protein_coding"	"Zc2hc1b"
"ENSRNOG00000042741"	"protein_coding"	"Adgb"
"ENSRNOG00000042852"	"protein_coding"	"AABR07000158.1"
"ENSRNOG00000042944"	"protein_coding"	"Cenpw"
"ENSRNOG00000043188"	"protein_coding"	"AABR07000261.1"
"ENSRNOG00000043733"	"miRNA"	"AABR07001057.1"
"ENSRNOG00000044833"	"rRNA"	"RF00001"
"ENSRNOG00000045233"	"rRNA"	"RF00001"
"ENSRNOG00000045369"	"rRNA"	"RF00001"
"ENSRNOG00000045491"	"rRNA"	"RF00001"
"ENSRNOG00000045914"	"protein_coding"	"Taar7d"
"ENSRNOG00000046250"	"protein_coding"	"LOC100911027"
"ENSRNOG00000046302"	"protein_coding"	"Taar7b"
"ENSRNOG00000046319"	"processed_transcript"	"AABR07000046.1"
"ENSRNOG00000046353"	"protein_coding"	"LOC501406"
"ENSRNOG00000046438"	"protein_coding"	"AABR07000583.1"
"ENSRNOG00000046617"	"protein_coding"	"LOC103690149"
"ENSRNOG00000046712"	"miRNA"	"rno-mir-3556b-1"
"ENSRNOG00000046874"	"protein_coding"	"Snx9"
"ENSRNOG00000046903"	"protein_coding"	"Taar7e"
"ENSRNOG00000046983"	"protein_coding"	"Adat2"
"ENSRNOG00000047027"	"protein_coding"	"Unc93a"
"ENSRNOG00000047117"	"pseudogene"	"AABR07001037.1"
"ENSRNOG00000047145"	"protein_coding"	"LOC102551340"
"ENSRNOG00000047193"	"protein_coding"	"LOC100909435"
"ENSRNOG00000047406"	"protein_coding"	"RGD1308544"
"ENSRNOG00000047605"	"protein_coding"	"Ptprk"
"ENSRNOG00000047746"	"protein_coding"	"AABR07000398.1"
"ENSRNOG00000047754"	"miRNA"	"AABR07000574.1"
"ENSRNOG00000047783"	"protein_coding"	"Tmem200a"
"ENSRNOG00000047798"	"miRNA"	"AABR07000332.1"
"ENSRNOG00000047821"	"protein_coding"	"Smlr1"
"ENSRNOG00000047825"	"protein_coding"	"Taar7c"
"ENSRNOG00000047964"	"protein_coding"	"AABR07000089.1"
"ENSRNOG00000047971"	"protein_coding"	"Mrpl36"
"ENSRNOG00000048072"	"protein_coding"	"Taar7h"
"ENSRNOG00000048248"	"protein_coding"	"LOC100910446"
"ENSRNOG00000048265"	"protein_coding"	"Taar7g"
"ENSRNOG00000048297"	"protein_coding"	"LOC108348175"
"ENSRNOG00000048762"	"protein_coding"	"AABR07000534.1"
"ENSRNOG00000048796"	"protein_coding"	"AABR07000740.1"
"ENSRNOG00000048934"	"protein_coding"	"LOC108348200"
"ENSRNOG00000048976"	"protein_coding"	"AABR07000740.2"
"ENSRNOG00000049044"	"miRNA"	"AABR07001561.1"
"ENSRNOG00000049256"	"miRNA"	"rno-mir-29b-2"
"ENSRNOG00000049259"	"protein_coding"	"LOC102549842"
"ENSRNOG00000049394"	"protein_coding"	"LOC679739"
"ENSRNOG00000049434"	"pseudogene"	"AABR07001048.1"
"ENSRNOG00000049505"	"protein_coding"	"Nup43"
"ENSRNOG00000049517"	"protein_coding"	"Tnfaip3"
"ENSRNOG00000049569"	"pseudogene"	"AABR07000629.2"
"ENSRNOG00000049881"	"protein_coding"	"AABR07001160.1"
"ENSRNOG00000050129"	"protein_coding"	"AABR07000137.1"
"ENSRNOG00000050157"	"miRNA"	"AABR07000968.1"
"ENSRNOG00000050370"	"protein_coding"	"Vom2r6"
"ENSRNOG00000050801"	"pseudogene"	"AABR07000629.3"
"ENSRNOG00000051377"	"protein_coding"	"AABR07001099.2"
"ENSRNOG00000051379"	"snRNA"	"RF00026"
"ENSRNOG00000051380"	"lincRNA"	"LOC102554576"
"ENSRNOG00000051400"	"ribozyme"	"RF00009"
"ENSRNOG00000051415"	"snoRNA"	"RF00412"
"ENSRNOG00000051450"	"protein_coding"	"Abracl"
"ENSRNOG00000051553"	"lincRNA"	"LOC103690980"
"ENSRNOG00000051597"	"lincRNA"	"AABR07000714.1"
"ENSRNOG00000051780"	"snoRNA"	"RF00561"
"ENSRNOG00000051831"	"rRNA"	"RF00002"
"ENSRNOG00000051844"	"pseudogene"	"AABR07000248.1"
"ENSRNOG00000051899"	"miRNA"	"AABR07000159.1"
"ENSRNOG00000051938"	"lincRNA"	"AABR07001591.1"
"ENSRNOG00000051969"	"snoRNA"	"RF00429"
"ENSRNOG00000052007"	"misc_RNA"	"RF01518"
"ENSRNOG00000052093"	"protein_coding"	"Smok2a"
"ENSRNOG00000052189"	"lincRNA"	"AABR07000452.1"
"ENSRNOG00000052241"	"snRNA"	"RF00026"
"ENSRNOG00000052274"	"snoRNA"	"RF00156"
"ENSRNOG00000052375"	"snoRNA"	"RF00560"
"ENSRNOG00000052464"	"lincRNA"	"AABR07000533.1"
"ENSRNOG00000052521"	"scaRNA"	"RF00565"
"ENSRNOG00000052644"	"snoRNA"	"RF00399"
"ENSRNOG00000052696"	"lincRNA"	"AABR07071851.1"
"ENSRNOG00000052700"	"lincRNA"	"AABR07001699.1"
"ENSRNOG00000052712"	"snoRNA"	"RF00560"
"ENSRNOG00000052726"	"lincRNA"	"AC128759.2"
"ENSRNOG00000052788"	"snoRNA"	"RF00340"
"ENSRNOG00000052956"	"snRNA"	"RF00026"
"ENSRNOG00000052999"	"protein_coding"	"AABR07000738.1"
"ENSRNOG00000053004"	"lincRNA"	"LOC102551080"
"ENSRNOG00000053052"	"lincRNA"	"LOC102548472"
"ENSRNOG00000053056"	"lincRNA"	"AABR07001358.1"
"ENSRNOG00000053113"	"lincRNA"	"AABR07001389.1"
"ENSRNOG00000053180"	"lincRNA"	"AABR07001003.1"
"ENSRNOG00000053182"	"lincRNA"	"AABR07000200.1"
"ENSRNOG00000053184"	"miRNA"	"AABR07000458.1"
"ENSRNOG00000053284"	"snRNA"	"RF00003"
"ENSRNOG00000053291"	"lincRNA"	"AABR07000493.1"
"ENSRNOG00000053323"	"lincRNA"	"AABR07001018.1"
"ENSRNOG00000053328"	"lincRNA"	"AABR07001233.1"
"ENSRNOG00000053331"	"lincRNA"	"AABR07000451.1"
"ENSRNOG00000053347"	"protein_coding"	"Ccdc28a"
"ENSRNOG00000053505"	"snRNA"	"RF00026"
"ENSRNOG00000053507"	"lincRNA"	"AABR07001455.1"
"ENSRNOG00000053617"	"lincRNA"	"AABR07000523.1"
"ENSRNOG00000053710"	"protein_coding"	"AABR07000159.2"
"ENSRNOG00000053735"	"protein_coding"	"Hebp2"
"ENSRNOG00000053880"	"snoRNA"	"RF00045"
"ENSRNOG00000053888"	"rRNA"	"RF00002"
"ENSRNOG00000053913"	"lincRNA"	"AC127189.1"
"ENSRNOG00000053931"	"snRNA"	"RF00548"
"ENSRNOG00000053944"	"protein_coding"	"AC114389.1"
"ENSRNOG00000053999"	"lincRNA"	"AABR07071851.2"
"ENSRNOG00000054005"	"snRNA"	"RF00026"
"ENSRNOG00000054020"	"lincRNA"	"AABR07001018.2"
"ENSRNOG00000054056"	"lincRNA"	"AABR07001662.1"
"ENSRNOG00000054156"	"lincRNA"	"AABR07001392.1"
"ENSRNOG00000054169"	"lincRNA"	"AABR07001019.1"
"ENSRNOG00000054246"	"protein_coding"	"AABR07000747.1"
"ENSRNOG00000054373"	"lincRNA"	"AABR07000484.1"
"ENSRNOG00000054452"	"snoRNA"	"RF00406"
"ENSRNOG00000054466"	"lincRNA"	"AABR07001207.1"
"ENSRNOG00000054504"	"lincRNA"	"AABR07001452.1"
"ENSRNOG00000054517"	"snoRNA"	"RF00438"
"ENSRNOG00000054620"	"protein_coding"	"AC135026.1"
"ENSRNOG00000054753"	"lincRNA"	"AABR07000986.1"
"ENSRNOG00000054756"	"lincRNA"	"AABR07001592.1"
"ENSRNOG00000054760"	"scaRNA"	"RF01295"
"ENSRNOG00000054816"	"misc_RNA"	"RF01518"
"ENSRNOG00000054834"	"lincRNA"	"AABR07001734.1"
"ENSRNOG00000054845"	"snoRNA"	"RF00560"
"ENSRNOG00000054876"	"snoRNA"	"RF00045"
"ENSRNOG00000054906"	"snoRNA"	"RF00560"
"ENSRNOG00000054921"	"snoRNA"	"RF00560"
"ENSRNOG00000055093"	"protein_coding"	"Fgfr1op"
"ENSRNOG00000055098"	"processed_pseudogene"	"AABR07001433.1"
"ENSRNOG00000055111"	"pseudogene"	"AABR07000658.1"
"ENSRNOG00000055136"	"lincRNA"	"AABR07001610.1"
"ENSRNOG00000055141"	"lincRNA"	"AABR07001518.1"
"ENSRNOG00000055142"	"protein_coding"	"Ect2l"
"ENSRNOG00000055161"	"snoRNA"	"RF00493"
"ENSRNOG00000055166"	"lincRNA"	"AABR07001382.2"
"ENSRNOG00000055223"	"snoRNA"	"RF00604"
"ENSRNOG00000055235"	"snRNA"	"RF00003"
"ENSRNOG00000055337"	"lincRNA"	"AABR07001054.1"
"ENSRNOG00000055342"	"snRNA"	"RF00066"
"ENSRNOG00000055421"	"protein_coding"	"AABR07000385.1"
"ENSRNOG00000055508"	"pseudogene"	"AABR07000159.3"
"ENSRNOG00000055517"	"snoRNA"	"RF00105"
"ENSRNOG00000055547"	"protein_coding"	"AABR07001519.1"
"ENSRNOG00000055577"	"lincRNA"	"AABR07001640.1"
"ENSRNOG00000055637"	"lincRNA"	"AABR07000725.1"
"ENSRNOG00000055660"	"lincRNA"	"AABR07000433.1"
"ENSRNOG00000055789"	"lincRNA"	"AABR07000411.1"
"ENSRNOG00000055826"	"lincRNA"	"AABR07001018.3"
"ENSRNOG00000055830"	"lincRNA"	"AABR07001700.1"
"ENSRNOG00000055836"	"miRNA"	"AABR07000402.1"
"ENSRNOG00000055858"	"protein_coding"	"Myb"
"ENSRNOG00000055877"	"protein_coding"	"AABR07000159.4"
"ENSRNOG00000055880"	"lincRNA"	"AABR07001061.1"
"ENSRNOG00000055957"	"snRNA"	"RF00026"
"ENSRNOG00000055971"	"lincRNA"	"AABR07000544.1"
"ENSRNOG00000055972"	"pseudogene"	"AC128394.1"
"ENSRNOG00000055981"	"protein_coding"	"AABR07001516.1"
"ENSRNOG00000056005"	"snRNA"	"RF00066"
"ENSRNOG00000056019"	"lincRNA"	"AC128394.2"
"ENSRNOG00000056218"	"lincRNA"	"AABR07000639.1"
"ENSRNOG00000056223"	"protein_coding"	"Tfb1m"
"ENSRNOG00000056383"	"snRNA"	"RF00015"
"ENSRNOG00000056439"	"snRNA"	"RF00026"
"ENSRNOG00000056441"	"lincRNA"	"AC114389.2"
"ENSRNOG00000056484"	"lincRNA"	"AABR07000978.1"
"ENSRNOG00000056670"	"protein_coding"	"AABR07000902.1"
"ENSRNOG00000056694"	"protein_coding"	"AABR07001100.1"
"ENSRNOG00000056705"	"protein_coding"	"AABR07000663.1"
"ENSRNOG00000056712"	"protein_coding"	"AC142421.1"
"ENSRNOG00000056842"	"lincRNA"	"AABR07001018.4"
"ENSRNOG00000056881"	"lincRNA"	"LOC102546868"
"ENSRNOG00000056940"	"protein_coding"	"Cited2"
"ENSRNOG00000057057"	"lincRNA"	"AABR07001210.1"
"ENSRNOG00000057164"	"lincRNA"	"AABR07001010.1"
"ENSRNOG00000057281"	"snRNA"	"RF00026"
"ENSRNOG00000057302"	"snoRNA"	"RF00560"
"ENSRNOG00000057320"	"misc_RNA"	"RF00019"
"ENSRNOG00000057357"	"lincRNA"	"AABR07001054.2"
"ENSRNOG00000057484"	"protein_coding"	"AABR07001573.1"
"ENSRNOG00000057561"	"lincRNA"	"AABR07001444.1"
"ENSRNOG00000057689"	"sense_intronic"	"AABR07001379.1"
"ENSRNOG00000057719"	"lincRNA"	"AC136053.1"
"ENSRNOG00000057721"	"pseudogene"	"AABR07001035.1"
"ENSRNOG00000057722"	"lincRNA"	"AABR07000714.2"
"ENSRNOG00000057890"	"snRNA"	"RF00015"
"ENSRNOG00000057928"	"lincRNA"	"AABR07001025.1"
"ENSRNOG00000057952"	"snoRNA"	"RF00186"
"ENSRNOG00000058041"	"snRNA"	"RF00066"
"ENSRNOG00000058047"	"protein_coding"	"AABR07000733.1"
"ENSRNOG00000058048"	"snoRNA"	"RF00322"
"ENSRNOG00000058050"	"protein_coding"	"Mtfr2"
"ENSRNOG00000058069"	"lincRNA"	"AABR07001497.1"
"ENSRNOG00000058077"	"lincRNA"	"AABR07001068.1"
"ENSRNOG00000058088"	"lincRNA"	"LOC102550206"
"ENSRNOG00000058103"	"lincRNA"	"AABR07001477.1"
"ENSRNOG00000058152"	"snoRNA"	"RF00401"
"ENSRNOG00000058258"	"lincRNA"	"AABR07001493.1"
"ENSRNOG00000058299"	"snRNA"	"RF00026"
"ENSRNOG00000058363"	"ribozyme"	"RF00009"
"ENSRNOG00000058425"	"lincRNA"	"AABR07000385.2"
"ENSRNOG00000058487"	"lincRNA"	"AABR07001018.5"
"ENSRNOG00000058518"	"snoRNA"	"RF00403"
"ENSRNOG00000058564"	"protein_coding"	"AABR07001592.2"
"ENSRNOG00000058582"	"snRNA"	"RF00026"
"ENSRNOG00000058612"	"snRNA"	"RF00026"
"ENSRNOG00000058772"	"snRNA"	"RF00026"
"ENSRNOG00000058808"	"snoRNA"	"RF00421"
"ENSRNOG00000058989"	"lincRNA"	"AABR07001764.1"
"ENSRNOG00000059032"	"lincRNA"	"AABR07000325.1"
"ENSRNOG00000059050"	"protein_coding"	"AABR07001416.1"
"ENSRNOG00000059137"	"lincRNA"	"AABR07000173.1"
"ENSRNOG00000059224"	"protein_coding"	"Reps1"
"ENSRNOG00000059251"	"protein_coding"	"1700020N01Rik"
"ENSRNOG00000059261"	"lincRNA"	"AABR07001700.2"
"ENSRNOG00000059310"	"snRNA"	"RF00026"
"ENSRNOG00000059321"	"snoRNA"	"RF00494"
